region,slug,n_components,has_population,has_healthcare,has_education,has_age_dependency,has_disability,has_wages,complete
adjara,batumi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
adjara,qeda,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
adjara,qobuleti,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
adjara,shuaxevi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
adjara,xelvachauri,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
adjara,xulo,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
guria,choxatauri,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
guria,lanchxuti,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
guria,ozurgeti,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,bagdadi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,chiatura,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,khoni,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,kutaisi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,sachxere,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,samtredia,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,terjola,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,tyibuli,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,vani,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,wyaltubo,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,xaragauli,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
imereti,zestafoni,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
javaxeti,adigeni,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
javaxeti,aspindza,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
javaxeti,axalcixe,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
javaxeti,axalqalaqi,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
javaxeti,borjomi,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
javaxeti,ninowminda,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
kakheti,axmeta,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,dedofliswyaro,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,gurjaani,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,lagodexi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,sagarejo,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,signagi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,telavi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
kakheti,yvareli,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
mcxeta-mtianeti,dusheti,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
mcxeta-mtianeti,mcxeta,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
mcxeta-mtianeti,tianeti,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
mcxeta-mtianeti,yazbegi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,bolnisi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,dmanisi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,gardabani,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,marneuli,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,rustavi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,tetriwyaro,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
qvemo-qartli,walka,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
racha,ambrolauri,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
racha,cageri,10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
racha,lentexi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
racha,oni,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,abasha,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,chxorowyu,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,martvili,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,mestia,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,poti,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,senaki,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,walenjixa,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,xobi,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
samegrelo,zugdidi,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
shida-qartli,gori,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
shida-qartli,kaspi,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
shida-qartli,qareli,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
shida-qartli,xashuri,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
tbilisi,tbilisi,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
